Date,Policy_Rate,Event
2022-01-18, -0.1, "MPM"
2022-03-18, -0.1, "MPM"
2022-04-28, -0.1, "MPM"
2022-06-17, -0.1, "MPM"
2022-07-21, -0.1, "MPM"
2022-09-22, -0.1, "MPM"
2022-10-28, -0.1, "MPM"
2022-12-20, -0.1, "MPM"
2023-01-18, -0.1, "MPM"
2023-03-10, -0.1, "MPM"
2023-04-28, -0.1, "MPM"
2023-06-16, -0.1, "MPM"
2023-07-28, -0.1, "MPM"
2023-09-22, -0.1, "MPM"
2023-10-31, -0.1, "MPM"
2023-12-19, -0.1, "MPM"
2024-01-23, -0.1, "MPM"
2024-03-19, 0.1, "MPM (Negative Rate End)"
2024-04-26, 0.1, "MPM"
2024-06-14, 0.1, "MPM"
2024-07-31, 0.25, "MPM (Hike to 0.25%)"
2024-09-20, 0.25, "MPM"
2024-10-31, 0.25, "MPM"
2024-12-19, 0.25, "MPM"
2025-01-24, 0.50, "MPM (Hike to 0.50%)"
2025-03-19, 0.50, "MPM"
2025-05-01, 0.50, "MPM"
2025-06-17, 0.50, "MPM"
2025-07-31, 0.50, "MPM"
2025-09-19, 0.50, "MPM"
2025-10-31, 0.50, "MPM"
2025-12-19, 0.75, "MPM (Hike to 0.75%)"
2026-01-23, 0.75, "MPM"
2026-03-19, 0.75, "MPM (Scheduled)"
